file_key,one_shot_solved,online_solved,old_compact_solved,local_correction_solved,cadical_solved_repeats,cadical_solved_any,cadical_solved_all,cadical_time_mean,cadical_time_min,cadical_time_max,results,pattern,one_shot_time_mean,online_time_mean,old_compact_time_mean,local_correction_time_mean,local_minus_online_time_mean,local_minus_old_time_mean
3sat_10.cnf,False,False,False,False,3,True,True,0.5351684344932437,0.4955437257885933,0.6102093798108399,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.28458734868368,60.44868028707378,60.39509718724569,60.40621217880758,-0.042468108266199,0.0111149915618895
3sat_122.cnf,False,False,False,False,3,True,True,5.944720637829353,5.4480025209486485,6.797467355150729,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.304950482686365,60.383530021280926,60.4058511260732,60.397408747706095,0.0138787264251689,-0.008442378367107
3sat_123.cnf,False,False,False,False,3,True,True,1.2657991933325927,1.1463223029859364,1.4617841257713735,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.3068838160197,60.38971168794759,60.4341771260732,60.402067414372766,0.0123557264251772,-0.0321097117004356
3sat_127.cnf,False,False,False,False,3,True,True,47.31846969683344,43.08615803299472,53.94842276209965,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.30690744679769,60.38603770233154,60.39043227924602,60.38464439833577,-0.0013933039957692,-0.0057878809102476
3sat_13.cnf,False,False,False,False,3,True,True,43.17276659281925,37.84026276180521,52.16563203977421,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.31410744679769,60.39630003566487,60.38924927924601,60.384322398335776,-0.011977637329096,-0.0049268809102329
3sat_138.cnf,False,False,False,False,3,True,True,32.088035185821354,29.939112896099687,36.2161043509841,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.3032778822581,60.38316963052368,60.390394313374834,60.38606687425741,0.0028972437337344,-0.004327439117425
3sat_148.cnf,False,False,False,False,3,True,True,23.25809465736772,21.30825100420043,26.65602825814858,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.296212157948816,60.44210677597047,60.33993892969768,60.39607031393433,-0.0460364620361346,0.0561313842366573
3sat_161.cnf,False,False,False,False,3,True,True,31.79487275440867,29.53098451392725,35.81325959926471,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.317221690368655,60.39442193288167,60.3919794728597,60.38616282889303,-0.0082591039886423,-0.0058166439666749
3sat_164.cnf,False,False,False,False,3,True,True,23.37783572745199,21.765643121674657,26.31007248768583,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.32135502370198,60.37585459954834,60.39377780619304,60.3659494955597,-0.0099051039886433,-0.027828310633339
3sat_175.cnf,False,False,False,False,3,True,True,16.25938189184914,15.130568395834416,18.44206083472818,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.29181319643656,60.370772908569336,60.372799898849486,60.39777023980204,0.0269973312327067,0.0249703409525565
3sat_179.cnf,False,False,False,False,3,True,True,5.986037240674098,5.486425152048469,6.8405946479178965,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.291546529769896,60.38600024190267,60.38355456551616,60.41037790646871,0.0243776645660389,0.0268233409525535
3sat_191.cnf,False,False,False,False,3,True,True,5.855941035008679,5.301715549081564,6.9544531889259815,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.309991091283166,60.336061688064575,60.41477553731284,60.36456629803976,0.0285046099751795,-0.0502092392730801
3sat_195.cnf,False,False,False,False,3,True,True,42.03880121962478,39.23452930571512,47.50026782695204,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.30605775794982,60.3448340213979,60.40746387064616,60.36918429803975,0.0243502766418473,-0.0382795726064131
3sat_28.cnf,False,False,False,False,3,True,True,15.727698142174631,14.59962103003636,17.859642781782895,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.29495327491761,60.41337906713358,60.36659715603637,60.41163886096192,-0.001740206171668,0.0450417049255449
3sat_29.cnf,False,False,False,False,3,True,True,32.42992943773667,30.281838396098465,36.56515139807016,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.2978532749176,60.41164906713359,60.36592782270304,60.40492586096192,-0.0067232061716708,0.0389980382588746
3sat_30.cnf,False,False,False,False,3,True,True,15.726656585155675,14.3424772657454,18.332298184745014,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.293553274917606,60.40214873380025,60.39038915603638,60.40358052762858,0.0014317938283241,0.0131913715921996
3sat_4.cnf,False,False,False,False,3,True,True,40.690020714420825,37.48906026408076,46.46183716319501,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.28117207183838,60.38901118723552,60.362495060053504,60.393045961227415,0.0040347739918971,0.0305509011739104
3sat_56.cnf,False,False,False,False,3,True,True,15.879676201070348,14.58868751488626,18.39492767164484,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.2901381120046,60.36656311629741,60.40892664989217,60.35589380336506,-0.0106693129323431,-0.0530328465271097
3sat_57.cnf,False,False,False,False,3,True,True,42.00379727485901,38.98072799900547,47.37102061184123,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.2933381120046,60.36769744963075,60.4038059832255,60.35924880336509,-0.0084486462656627,-0.0445571798604191
3sat_58.cnf,False,False,False,False,3,True,True,5.86809697529922,5.287000387907028,6.990795596968383,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.2910381120046,60.37388111629741,60.41501431655883,60.36477880336506,-0.0091023129323488,-0.050235513193769
3sat_59.cnf,False,False,False,False,3,True,True,0.515348602241526,0.4729555416852236,0.5967489751055837,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.28913811200459,60.371430449630736,60.41198664989216,60.36388180336508,-0.0075486462656613,-0.0481048465270887
3sat_60.cnf,False,False,False,False,3,True,True,23.63866106638064,22.0132959629409,26.81406234530732,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.2861381120046,60.36320078296407,60.40255531655884,60.35823280336508,-0.0049679795989945,-0.0443225131937623
3sat_74.cnf,False,False,False,False,3,True,True,37.217574109633766,33.51665844069794,44.43337680818513,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.32694328575135,60.39912097168477,60.36977350113932,60.36435994517517,-0.0347610265095994,-0.0054135559641466
3sat_76.cnf,False,False,False,False,3,True,True,32.65883481549099,30.07675443403423,37.73084889911115,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.333243285751344,60.40322263835144,60.38017316780599,60.37007927850851,-0.0331433598429313,-0.0100938892974795
3sat_84.cnf,False,False,False,False,3,True,True,22.824423642208178,21.099812438245863,26.10006245179102,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.283863913345336,60.41319343787129,60.37387270094808,60.36300377546184,-0.0501896624094584,-0.0108689254862426
3sat_90.cnf,False,False,False,False,3,True,True,5.871613703202456,5.4302190048620105,6.742499434854835,"SATISFIABLE,SATISFIABLE,SATISFIABLE",0000,60.29137376556397,60.39803322392273,60.38971212416586,60.33837897110494,-0.0596542528177934,-0.0513331530609235
